City ID,Date,Country,City,Cloudiness,Max Temp,Wind Speed,Humidity,Lat,Lng
0,2021-04-16,AU,Mount Gambier,90,51.8,5.75,76,-37.8333,140.7667
1,2021-04-16,SS,Tambura,60,84.29,1.39,28,5.6,27.4667
2,2021-04-16,US,Albany,100,43.0,1.01,77,42.6001,-73.9662
3,2021-04-16,PF,Rikitea,100,77.22,12.64,71,-23.1203,-134.9692
4,2021-04-16,RU,Zhigansk,100,28.83,29.48,96,66.7697,123.3711
5,2021-04-16,CA,Marystown,79,42.75,19.69,64,47.1666,-55.1483
6,2021-04-16,US,Kapaa,1,64.4,6.91,94,22.0752,-159.319
7,2021-04-16,GL,Upernavik,56,-4.27,9.06,89,72.7868,-56.1549
8,2021-04-16,AU,Busselton,27,55.99,7.78,90,-33.65,115.3333
9,2021-04-16,MY,George Town,20,84.2,5.75,79,5.4112,100.3354
10,2021-04-16,GL,Tasiilaq,75,28.4,34.52,93,65.6145,-37.6368
11,2021-04-16,RU,Ostrovnoy,100,35.56,15.64,87,68.0531,39.5131
12,2021-04-16,US,Graham,1,60.8,3.0,39,47.0529,-122.2943
13,2021-04-16,US,Hilo,1,64.4,5.75,72,19.7297,-155.09
14,2021-04-16,CA,Torbay,90,36.0,21.85,80,47.6666,-52.7314
15,2021-04-16,CL,Punta Arenas,40,48.2,36.82,61,-53.15,-70.9167
16,2021-04-16,BR,Amapá,100,72.7,2.3,98,1.0,-52.0
17,2021-04-16,PT,Lata,20,66.0,8.05,68,40.1629,-8.3327
18,2021-04-16,ZA,East London,20,60.8,8.05,67,-33.0153,27.9116
19,2021-04-16,FO,Vágur,100,44.96,34.2,91,61.4732,-6.8119
20,2021-04-16,FR,Arrondissement de Perpignan,0,59.0,19.57,21,42.75,2.75
21,2021-04-16,ES,Llanes,6,53.01,14.9,49,43.4198,-4.7549
22,2021-04-16,AR,Mar del Plata,75,73.0,3.44,82,-38.0023,-57.5575
23,2021-04-16,AR,Morón,20,79.0,5.75,53,-34.6534,-58.6198
24,2021-04-16,AR,Ushuaia,40,44.6,34.52,70,-54.8,-68.3
25,2021-04-16,BR,Marabá,40,89.6,3.44,70,-5.3686,-49.1178
26,2021-04-16,US,Elizabeth City,1,61.0,14.97,39,36.2946,-76.2511
27,2021-04-16,US,Kahului,1,64.99,6.91,94,20.8947,-156.47
